Trial_type,Response,Points_earned,EV,PE,choiceprob,pred_choice,pred_reward,run_id,seed,param_beta,param_lossave,param_alpha,param_exp
2.0,2,0,-1.1139886878906253,0.5556994343945313,0.498607517740197,1,10.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-0.558289253496094,0.5279144626748047,0.4993021388862844,1,10.0,0,42,0.01,0.5,0.05,1.0
2.0,2,0,-0.030374790821289355,-4.998481260458936,0.49996203151154645,1,-100.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,26.46117952361911,-1.8230589761809555,0.5657696333765789,1,-10.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,24.638120547438152,,0.5612855927289905,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,-18.793699900798767,,0.47652514631657594,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,55.925962120782955,,0.6362812136145028,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,24.638120547438152,,0.5612855927289905,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,55.925962120782955,-3.046298106039148,0.6362812136145028,1,-5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-5.028856051280226,,0.4937142611043318,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,-18.793699900798767,,0.47652514631657594,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,-18.793699900798767,-23.860315004960064,0.47652514631657594,1,-496.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,-42.65401490575883,,0.44688365810467856,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,24.638120547438152,-1.7319060273719076,0.5612855927289905,1,-10.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-5.028856051280226,-4.748557197435988,0.4937142611043318,1,-100.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-9.777413248716215,,0.48778066697024647,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,-42.65401490575883,2.3827007452879414,0.44688365810467856,1,5.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,-40.27131416047089,,0.44983025168126345,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,-40.27131416047089,,0.44983025168126345,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,-40.27131416047089,2.2635657080235445,0.44983025168126345,1,5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-9.777413248716215,,0.48778066697024647,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,-38.007748452447345,,0.45263278319793987,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,2,0,-9.777413248716215,,0.48778066697024647,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,52.87966401474381,22.10601679926281,0.629202403682043,1,495.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,22.906214520066246,3.854689273996688,0.5570164521389863,1,100.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,74.98568081400663,-3.9992840407003314,0.6791474975854823,1,-5.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,26.760903794062934,-1.8380451897031467,0.5665058333693068,1,-10.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,24.92285860435979,,0.5619866205212565,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-9.777413248716215,0.9888706624358108,0.48778066697024647,1,10.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-8.788542586280403,,0.489016089169824,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,2,0,-8.788542586280403,,0.489016089169824,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,70.9863967733063,-3.799319838665315,0.6703711009538514,1,-5.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,-38.007748452447345,,0.45263278319793987,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,67.18707693464098,-3.6093538467320494,0.6619219291095295,1,-5.0,0,42,0.01,0.5,0.05,1.0
